Category,Feature Name,Description,,,
UI & UX,Professional Icon System,Comprehensive migration from basic emojis and raw SVGs to standard industry lucide-react vector icons across navigation, headers, inputs, and menus
UI & UX,Compact Single-Page Status Viewer,Resized WhatsApp-style story viewing dialog (340x460px) enabling seamless viewing, emoji reacting, and direct replying on a single page without scrolling,
Status & Receipts,Status Image Studio (Crop & Rotate),Interactive cropping ratios (Free, 9:16 story ratio, 1:1 square, 4:3) and 90-degree instant image rotation before posting status
Status & Receipts,Status Image Doodle & Pencil,Freehand custom drawing tool over status photos featuring a vibrant color palette selector and adjustable stroke thickness (Thin to Marker) with Undo functionality,,,
Status & Receipts,Status Emoji Stickers & Text Overlays,Place interactive draggable emoji stickers and custom colorful styled text banners directly onto status pictures and video updates,,,
Status & Receipts,Status Video Trimming & Cut Loop,Precision dual-slider video range trimmer allowing users to cut start/end timestamps within a 30-second loop interval and view real-time playback previews before publishing,,,
Messaging,Interactive WhatsApp Polls & Live Voting,Create multi-option polls in individual and group chats featuring live vote tabulation, green percentage progress bars, voter avatar preview badges, and a comprehensive View Votes inspection dialog,,,
Messaging,Automatic Hyperlink & Web URL Recognition,Automatically identifies HTTP/HTTPS links and website web domains inside chat messages and formats them into clickable light-blue hyperlinks with zero-day security protection,,,
Status & Receipts,Animated Story Progress Bars & Timed Auto-Advancing,Dynamic segmented top progress lines that fill from 0% to 100% in real-time with 5-second automatic slide progression for photos/text and synchronized video frame progression,,,
Status & Receipts,Interactive Story Center-Tap Pause & Resume,Tap anywhere in the center screen zone of a story update to pause timers and freeze video playback with a centered play badge indicator and smart auto-pausing when typing replies,,,
UI & UX,Dedicated Status Dashboard Workspace,Smart navigation switching that cleanly clears chat windows when switching tabs and displays an immersive Status instruction screen on the main right-hand panel,,,
UI & UX,Profile About Status Emoji Picker,Integrated interactive theme-aware emoji selection dropdown inside the Profile Settings About status text field for custom emoji status personalization,,,
Security,Per-Chat Passcode Lock,Lock individual 1-on-1 and group chats with custom PINs/passcodes, hidden message previews, and instant auto-relock on chat switch,,,
Security,Dedicated Locked Chats Folder,Top-level protected folder view housing all locked conversations behind passcode authentication,,,
Messaging,Chat Image Preview & Media Editor,Full-screen image editor before sending chat photos featuring freehand drawing/scribbling, text overlays with color picker, draggable emoji stickers, and captions,,,
Messaging,Interactive Overlay Resizing,Resize text and emoji stickers on images via mouse scroll wheel, +/- buttons, or dedicated size slider (10px - 120px),,,
Messaging,Delete For Me & Delete For Everyone,Delete messages for yourself anytime or delete for everyone within a 30-minute window,,,
Messaging,Multi-Select Action Header Bar,WhatsApp-style header action bar with Reply (1 selected), Forward, and Delete buttons for single and bulk message selection,,,
Messaging,Selection Mode Deleted Message Deletion,Select deleted tombstone messages in selection mode or dropdown menu to remove them via Delete for me,,,
Status & Receipts,Status Quote Story Preview,Clicking status reply quote boxes in chat loads full-res images (resolved media URLs) and opens a full-screen Status Story Preview modal,,,
UI & UX,Web Audio API Notification & Ringtone System,Zero-dependency browser-synthesized audio tones for incoming message chimes, sent message pop sounds, and WebRTC incoming call ringtone loops,,,
UI & UX,Customizable Notification & Ringtone Settings,Configure and test message sounds and incoming call ringtones (Classic, Marimba, Pop, Pulse, Digital, Gentle) inside Profile Settings,,,
UI & UX,Browser Autoplay Policy Audio Unlock & Global Sound Engine,Automatic pointer/touch/keypress interaction listeners to unlock Web Audio API and play incoming message chimes globally across all active and background chats,,,
Messaging,Inline Document Preview Modal,Preview PDFs, Word (.docx/.doc), Excel (.xlsx/.xls), and text documents directly inside a full-screen interactive viewport before and after sending without downloading.
Messaging,HD Image Quality Toggle,Choose between Standard Quality (optimized) and HD Quality ✨ (full resolution) via an interactive pill toggle in the Image Preview Editor before sending photos in chat.
Messaging,Automatic Scheduled Messages Engine,Schedule messages for future dates and times with a background Python daemon worker checking every 10 seconds to automatically dispatch due messages live over WebSockets.
Messaging,Sequential Multi-Edit Audit History,Permanent Django Admin audit logging tracking initial message content at creation and recording every edit step with timestamped edit counts.
Privacy,Disappearing Messages Timers,Set per-chat expiring message timers (24 Hours, 7 Days, 30 Days, Off) to auto-expire messages in participant chat windows while preserving compliance audit records in Django Admin.
UI & UX,Mobile Media Picker Bottom Drawer,Responsive dual-mode Media Picker that opens as a floating popup menu on desktop and as a WhatsApp-style bottom drawer on mobile view below the text input field.
UI & UX,Enhanced Django Admin Group Dashboard,Comprehensive Django Admin view for WhatsApp chat groups displaying member counts, participant lists, and admin roles.
Deployment,Production Cloud Deployment & Render Sync,Fully configured Django Channels ASGI Daphne backend with dynamic Render environment auto-mapping, WhiteNoise static handling, and SPA client-side route rewrites.
